model,rep,n_train_samples,n_test_samples,recurse_level,cov_scale,onehot,shuffle_label_frac,n_estimators,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_h*,ACTS_h*,IRM_entropy,IRM_rows_mean_L2,IRM_cols_mean_L1,IRM_cols_mean_L2,IRM_mean_dot_product,IRM_mean_sim_entropy,n_total_leaves,IRM_scaled_L0,IRM_scaled_L1,IRM_scaled_L2,mean_affine_unexpanded_mat_norm,mean_affine_mat_norm
forest,1,1024,8192,0,1.0,True,None,1,False,17,-2,0.0205078125,0.011475271002710032,0.357177734375,0.3477668323755441,264.0,1024.0,112.36547512470189,264,112.36547512470189,0,0,5.003419968182181,0.10973190930146669,3.878787878787877,0.1212121212121212,12.330078125,1.9280518374172702,264,264.0,264.0,16.24807680927192,0.6989454406441822,0.6989454406441822
forest,1,1024,8192,0,1.0,True,None,1,False,18,-2,0.01953125,0.010653831845238087,0.3541259765625,0.3447585831207491,267.0,1024.0,110.32678731840241,267,110.32678731840241,0,0,5.026110756132769,0.10774100324062735,3.8352059925093642,0.11985018726591758,11.88671875,1.9053610494666833,267,267.0,267.0,16.34013463836819,0.6995328213563405,0.6995328213563405
forest,1,1024,8192,0,1.0,True,None,1,False,19,-2,0.0087890625,0.005436197916666668,0.35546875,0.3495224338107624,277.0,1024.0,105.77334257741882,277,105.77334257741882,0,0,5.098058358699554,0.10329427986076056,3.696750902527077,0.11552346570397114,10.92578125,1.8334134468998977,277,277.0,277.0,16.64331697709324,0.7032523032904573,0.7032523032904573
forest,1,1024,8192,0,1.0,True,None,1,False,20,-2,0.0048828125,0.0031926081730769234,0.351806640625,0.3493746243990379,282.0,1024.0,105.45141061171255,282,105.45141061171255,0,0,5.110742963962086,0.10297989317550053,3.631205673758864,0.11347517730496455,10.859375,1.820728841637365,282,282.0,282.0,16.792855623746668,0.7048456510661913,0.7048456510661913
forest,1,1024,8192,0,1.0,True,None,1,False,21,-2,0.00390625,0.0024857954545454545,0.354736328125,0.3526379293646689,286.0,1024.0,105.18555033843765,286,105.18555033843765,0,0,5.12169179335073,0.10272026400238052,3.5804195804195804,0.11188811188811192,10.8046875,1.8097800122487213,286,286.0,286.0,16.911534525287763,0.7053468682467191,0.7053468682467191
forest,1,1024,8192,0,1.0,True,None,1,False,22,-2,0.0029296875,0.001985677083333333,0.3572998046875,0.3559442816840279,285.0,1024.0,104.9285471165974,285,104.9285471165974,0,0,5.125874669090222,0.10246928429355215,3.5929824561403496,0.11228070175438595,10.751953125,1.8055971365092294,285,285.0,285.0,16.881943016134134,0.7057012986502623,0.7057012986502623
forest,1,1024,8192,0,1.0,True,None,1,False,23,-2,0.0029296875,0.0018833705357142862,0.3546142578125,0.3524630799585461,284.0,1024.0,104.98571331376475,284,104.98571331376475,0,0,5.122723677491626,0.10252511065797339,3.6056338028169024,0.11267605633802817,10.763671875,1.8087481281078257,284,284.0,284.0,16.852299546352718,0.7057737806579993,0.7057737806579993
forest,1,1024,8192,0,1.0,True,None,1,False,24,-2,0.0,0.0,0.35693359375,0.35693359375,287.0,1024.0,104.82366145102927,287,104.82366145102927,0,0,5.131896789299229,0.10236685688577077,3.5679442508710797,0.11149825783972127,10.73046875,1.799575016300222,287,287.0,287.0,16.941074346097416,0.7071067811865475,0.7071067811865475
forest,1,1024,8192,0,1.0,True,None,1,False,None,-2,0.0,0.0,0.355224609375,0.355224609375,284.0,1024.0,104.98571331376475,284,104.98571331376475,0,0,5.122324244344523,0.10252511065797339,3.6056338028169024,0.11267605633802817,10.763671875,1.8091475612549277,284,284.0,284.0,16.852299546352718,0.7071067811865475,0.7071067811865475
forest,1,1024,8192,0,1.0,True,None,2,False,None,-2,0.0,0.0,0.360595703125,0.35003662109375,569.0,1024.0000000000002,103.99278821149088,308,103.05338422390601,0,0,5.160285443294919,0.1449068704328156,3.5992970123022854,0.11247803163444638,5.37548828125,1.8451245196315496,569,565.0,284.49999999999994,16.671693969677882,0.7071067811865475,0.5
forest,1,1024,8192,0,1.0,True,None,3,False,None,-2,0.0,0.0,0.3543701171875,0.3407253689236103,864.0,1024.0000000000002,104.1067827868205,329,103.24727599312246,0,0,5.181126257478147,0.1773476217914357,3.5555555555555567,0.1111111111111111,3.578559027777787,1.8562716765654679,864,864.0,288.00000000000006,16.64872079524508,0.7071067811865475,0.408248290463863
forest,1,1024,8192,0,1.0,True,None,4,False,None,-2,0.0,0.0,0.3621826171875,0.342559814453125,1024.0,1024.0000000000005,103.74427695058652,329,102.3132444994293,0,0,5.180220148903682,0.2049990546972298,3.5992970123022854,0.11247803163444638,2.6895751953125,1.869190034251571,1138,1022.0,284.5,16.535901198276235,0.7071067811865475,0.35355339059327373
forest,1,1024,8192,0,1.0,True,None,5,False,None,-2,0.0,0.0,0.3599853515625,0.33731445312499925,1024.0,1024.0000000000005,103.78863136201382,340,102.12737145349429,0,0,5.190339303759368,0.22887841794322877,3.5408022130013843,0.11065006915629322,2.145703124999993,1.862927267694853,1446,1024.0,289.2,16.65152071891503,0.7071067811865475,0.316227766016838
forest,1,1024,8192,0,1.0,True,None,7,False,None,-2,0.0,0.0,0.3563232421875,0.33532714843750067,1024.0,1024.0000000000007,103.62707864535905,346,101.84301645179212,0,0,5.195323706634072,0.2710589911524248,3.585792896448225,0.11205602801400699,1.5354352678571408,1.881052897913823,1999,1023.0,285.57142857142856,16.474338830811455,0.7071067811865475,0.2672612419124244
forest,1,1024,8192,0,1.0,True,None,10,False,None,-2,0.0,0.0,0.3585205078125,0.3344067382812496,1024.0,1024.0000000000005,103.45685090896588,343,101.87246929372037,0,0,5.200508212089793,0.32377134039222033,3.560500695410291,0.11126564673157163,1.0734374999999965,1.8793180830746201,2876,1024.0,287.6,16.53741457579146,0.7071067811865475,0.223606797749979
forest,1,1024,8192,0,1.0,True,None,13,False,None,-2,0.0,0.0,0.3543701171875,0.3337958522096903,1024.0,1024.0000000000007,103.47620713858323,344,101.86265262597475,0,0,5.200576558907575,0.3693240078553252,3.5746509129967787,0.11170784103114931,0.826472355769234,1.883744258852133,3724,1024.0,286.4615384615385,16.48024069154747,0.7071067811865475,0.19611613513818404
