model,rep,n_train_samples,n_test_samples,dims,onehot,shuffle_label_frac,n_estimators,max_features,bootstrap,max_depth,n_jobs,train_01_error,train_mse,test_01_error,test_mse,IRM_L0,IRM_L1,IRM_L2,n_regions,ACTS_L2,IRM_entropy,n_total_leaves
shallow_forest,2,1000,8192,100,True,None,3,sqrt,False,40,-2,0.0,0.0,0.1423,0.1146,295.0,1000.0000000000003,222.01451404006104,599,86.02325267042627,4.0368616189290325,295
shallow_forest,2,1000,8192,100,True,None,3,sqrt,False,None,-2,0.0,0.0,0.144,0.1111,298.0,1000.0000000000001,196.91001893137775,618,75.3657747256671,4.183956879467042,298
shallow_forest,2,1000,8192,100,True,None,4,sqrt,False,2,-2,0.229,0.173,0.2736,0.1878,16.0,999.9999999999999,443.6654144735647,57,217.7200036744442,1.9489879149422933,16
shallow_forest,2,1000,8192,100,True,None,4,sqrt,False,5,-2,0.042,0.059,0.1392,0.1144,118.0,1000.0,211.39625114935222,691,57.89645930452051,3.775033162674927,118
shallow_forest,2,1000,8192,100,True,None,4,sqrt,False,15,-2,0.0,0.0,0.1654,0.1156,483.0,1000.0,132.99436078270386,941,34.75629439396553,4.897944661689393,483
shallow_forest,2,1000,8192,100,True,None,4,sqrt,False,40,-2,0.0,0.0,0.1339,0.1016,437.0,1000.0,159.62260178308082,908,38.34057902536163,4.650375227832239,437
shallow_forest,2,1000,8192,100,True,None,4,sqrt,False,None,-2,0.0,0.0,0.1498,0.1059,446.0,1000.0,149.5259174858994,866,38.93584466786357,4.676877373364536,446
shallow_forest,2,1000,8192,100,True,None,5,sqrt,False,2,-2,0.139,0.149,0.182,0.1644,20.0,1000.0,428.83740508495765,201,118.70130580579136,2.1424434723543704,20
shallow_forest,2,1000,8192,100,True,None,5,sqrt,False,5,-2,0.029,0.05,0.1184,0.1047,142.0,1000.0000000000002,237.72740691809182,790,46.98936049788292,3.714850240275065,142
shallow_forest,2,1000,8192,100,True,None,5,sqrt,False,15,-2,0.0,0.0,0.1061,0.091,510.0,999.9999999999999,180.47825353764924,922,35.7211421989835,4.571932569762114,510
shallow_forest,2,1000,8192,100,True,None,5,sqrt,False,40,-2,0.0,0.0,0.1012,0.0868,498.0,1000.0,185.29155404389053,909,36.49657518178932,4.516096270709581,498
shallow_forest,2,1000,8192,100,True,None,5,sqrt,False,None,-2,0.0,0.0,0.1274,0.1079,573.0,1000.0000000000003,133.8124060018353,985,32.09361307176243,4.938055861392382,573
shallow_forest,2,1000,8192,100,True,None,7,sqrt,False,2,-2,0.129,0.153,0.1744,0.1719,28.0,999.9999999999999,393.45315827313163,656,51.32250968142536,2.423573881969075,28
shallow_forest,2,1000,8192,100,True,None,7,sqrt,False,5,-2,0.02,0.043,0.0874,0.0892,195.0,1000.0000000000001,234.26715954400507,979,32.46536616149585,3.970315830341158,195
shallow_forest,2,1000,8192,100,True,None,7,sqrt,False,15,-2,0.0,0.0,0.0889,0.0818,703.0,1000.0000000000001,166.6665986394419,989,31.96873472629156,4.790232443248628,703
shallow_forest,2,1000,8192,100,True,None,7,sqrt,False,40,-2,0.0,0.0,0.1029,0.0913,753.0,1000.0,153.7679141712322,996,31.78049716414141,4.925901606368112,753
shallow_forest,2,1000,8192,100,True,None,7,sqrt,False,None,-2,0.0,0.0,0.0952,0.0846,729.0,1000.0000000000002,160.01670831127453,985,32.12475680841802,4.828875804807724,729
shallow_forest,2,1000,8192,100,True,None,10,sqrt,False,2,-2,0.082,0.12,0.0989,0.1328,40.0,1000.0,392.6082271170588,801,43.104524124504614,2.556498351682322,40
shallow_forest,2,1000,8192,100,True,None,10,sqrt,False,5,-2,0.01,0.04,0.0767,0.0855,288.0,1000.0000000000001,205.97193983647384,991,31.906112267087632,4.266246800842438,288
shallow_forest,2,1000,8192,100,True,None,10,sqrt,False,15,-2,0.0,0.0,0.0743,0.0783,1000.0,1000.0000000000003,160.5826267066273,999,31.654383582688826,5.044317500412665,1059
shallow_forest,2,1000,8192,100,True,None,10,sqrt,False,40,-2,0.0,0.0,0.0797,0.0762,1000.0,1000.0000000000001,147.2817707661067,1000,31.622776601683793,5.09639874422784,1038
