model,rep,n_train_samples,n_estimators,max_features,splitter,bootstrap,max_depth,n_jobs,train_01_error,test_01_error,irm_l2,activated_regions,regions_l2,n_total_leaves
forest,1,4096,10,1,random,False,None,-1,0.0,0.30889999999999995,87.04791783839522,4074,64.34283176858165,25275
forest,1,4096,20,1,random,False,2,-1,0.382080078125,0.39059999999999995,2920.0378396520764,240,517.1363456575066,79
forest,1,4096,20,1,random,False,3,-1,0.32080078125,0.3157,2338.938673843329,507,342.8264867246987,153
forest,1,4096,20,1,random,False,4,-1,0.29443359375,0.2901,1774.9313338830875,950,242.57370014080257,269
forest,1,4096,20,1,random,False,6,-1,0.27734375,0.2752,1122.9148899181987,2363,109.89995450408543,720
forest,1,4096,20,1,random,False,8,-1,0.260498046875,0.2744,780.5431121981675,3200,83.35466393669881,1900
forest,1,4096,20,1,random,False,10,-1,0.223388671875,0.27480000000000004,519.3357921422324,3805,69.68500556073741,4437
forest,1,4096,20,1,random,False,15,-1,0.07666015625,0.2792,171.82021126747577,4084,64.18722614352485,18752
forest,1,4096,20,1,random,False,20,-1,0.0,0.2943,95.0683701343407,4091,64.07807737440318,39269
forest,1,4096,20,1,random,False,None,-1,0.0,0.3075,82.72841108107903,4094,64.03124237432849,50663
forest,2,4096,1,1,random,False,2,-1,0.486328125,0.49339999999999995,2875.2909418004992,4,2875.2909418004992,4
forest,2,4096,1,1,random,False,3,-1,0.42529296875,0.43300000000000005,2261.4813729058196,8,2261.4813729058196,8
forest,2,4096,1,1,random,False,4,-1,0.431884765625,0.4236,2113.022006511051,15,2113.022006511051,15
forest,2,4096,1,1,random,False,6,-1,0.297119140625,0.3046,1230.7639903734596,50,1230.7639903734596,50
forest,2,4096,1,1,random,False,8,-1,0.330078125,0.3539,847.1941926146568,121,847.1941926146568,121
forest,2,4096,1,1,random,False,10,-1,0.466064453125,0.4738,2329.3054758876087,60,2329.3054758876087,60
forest,2,4096,1,1,random,False,15,-1,0.132568359375,0.3248,213.6586061922151,1435,213.6586061922151,1435
forest,2,4096,1,1,random,False,20,-1,0.093505859375,0.3428,162.30218729271647,1845,162.30218729271647,1845
forest,2,4096,1,1,random,False,None,-1,0.0,0.3507,124.2014492669067,2500,124.2014492669067,2500
forest,2,4096,2,1,random,False,2,-1,0.46728515625,0.46840000000000004,3161.6548673123575,9,2794.063349317618,8
forest,2,4096,2,1,random,False,3,-1,0.43798828125,0.44889999999999997,3159.777049096979,24,2939.5431617855215,16
forest,2,4096,2,1,random,False,4,-1,0.4765625,0.4871,3062.6337521812898,22,2713.7413288668417,19
forest,2,4096,2,1,random,False,6,-1,0.333740234375,0.33919999999999995,1670.7674883118839,115,1192.8839004697822,86
forest,2,4096,2,1,random,False,8,-1,0.35009765625,0.36140000000000005,920.4827537765166,441,466.13517352802296,168
forest,2,4096,2,1,random,False,10,-1,0.284423828125,0.31799999999999995,959.4029393325824,485,559.7838868706388,329
forest,2,4096,2,1,random,False,15,-1,0.18115234375,0.30310000000000004,524.1955741896336,1517,286.9355328292404,1292
forest,2,4096,2,1,random,False,20,-1,0.04052734375,0.3336,142.70599146496966,3207,89.24124606929234,3567
forest,2,4096,2,1,random,False,None,-1,0.0,0.35119999999999996,120.36610818664862,3433,90.35485598461209,4934
forest,2,4096,3,1,random,False,2,-1,0.418701171875,0.42579999999999996,2817.5820997601636,13,2035.0680578300082,11
forest,2,4096,3,1,random,False,3,-1,0.441162109375,0.45130000000000003,2646.9026343172395,37,1926.9058098412593,23
forest,2,4096,3,1,random,False,4,-1,0.282470703125,0.28469999999999995,1467.35037094455,80,872.9387149164603,45
forest,2,4096,3,1,random,False,6,-1,0.3505859375,0.36329999999999996,1322.9183228336103,244,725.3716288910119,117
forest,2,4096,3,1,random,False,8,-1,0.279296875,0.3064,1099.8369576138693,413,534.707396619871,239
forest,2,4096,3,1,random,False,10,-1,0.2470703125,0.2894,750.6786559137297,1046,446.9630857240901,644
forest,2,4096,3,1,random,False,15,-1,0.104248046875,0.29900000000000004,226.74606452544614,3073,89.78864070694023,3107
