model,rep,n_train_samples,hidden_layer_dims,n_epochs,learning_rate,batch_size,verbose,train_01_error,test_01_error,irm_l2_pen,activated_regions_pen,regions_l2_pen,irm_l2_all,activated_regions_all,regions_l2_all,n_parameters,depth,width
network,3,4096,8,1000,0.01,128,0,0.260009765625,0.2722,1279.771506705395,26,978.3210107117194,1279.771506705395,26,978.3210107117194,42,1,8
network,3,4096,8;8,1000,0.01,128,0,0.255615234375,0.27080000000000004,557.2138804747683,26,1337.3907432011033,859.9184100105076,93,728.8497787610283,114,2,8
network,3,4096,8;8;8,1000,0.01,128,0,0.250732421875,0.2743,278.4009274210286,18,1511.4813925417675,659.3581264297034,147,736.1005366116777,186,3,8
network,3,4096,8;8;8;8;8,1000,0.01,128,0,0.243896484375,0.27349999999999997,106.34825163113874,17,1527.6256085834643,543.4049778940192,597,489.50791617705227,330,5,8
network,3,4096,8;8;8;8;8;8;8,1000,0.01,128,0,0.254638671875,0.2701,59.87600655282786,3,2589.114520449028,485.00396885868213,557,550.7685539316856,474,7,8
network,3,4096,8;8;8;8;8;8;8;8;8;8;8,1000,0.01,128,0,0.255859375,0.2732,40.48568132762476,3,2493.7217166315895,441.5246103379641,549,523.8148527867456,762,11,8
network,3,4096,16,1000,0.01,128,0,0.259765625,0.2691,953.7862603690352,70,706.8366147844918,953.7862603690352,70,706.8366147844918,82,1,16
network,3,4096,16;16,1000,0.01,128,0,0.25634765625,0.2744,214.0153620544855,64,883.4183606876189,522.6761319088406,234,472.5145500405252,354,2,16
network,3,4096,16;16;16,1000,0.01,128,0,0.246826171875,0.27680000000000005,92.11681376639243,22,1368.8045879525685,484.50710250570353,394,405.74869069412904,626,3,16
network,3,4096,16;16;16;16;16,1000,0.01,128,0,0.247314453125,0.27780000000000005,33.3182452831778,9,2483.0670550752347,369.99660323609737,937,306.6039791000763,1170,5,16
network,3,4096,16;16;16;16;16;16;16,1000,0.01,128,0,0.25341796875,0.27359999999999995,29.57933032584596,4,2662.964513469904,331.403510227636,903,286.70193581488076,1714,7,16
network,3,4096,32,1000,0.01,128,0,0.2607421875,0.27070000000000005,371.92792953154895,60,719.9319412277803,371.92792953154895,60,719.9319412277803,162,1,32
network,3,4096,32;32,1000,0.01,128,0,0.242431640625,0.2784,103.47459800183144,209,607.6001974983221,256.7183657939911,527,331.25518863860833,1218,2,32
network,3,4096,32;32;32,1000,0.01,128,0,0.2353515625,0.27959999999999996,47.49823987053217,77,1219.127556902886,238.72427212853455,821,302.65491900843114,2274,3,32
network,3,4096,32;32;32;32;32,1000,0.01,128,0,0.234375,0.27890000000000004,21.150975154824412,7,2460.9798861429163,209.30438081446124,1154,243.35570673399053,4386,5,32
network,3,4096,64,1000,0.01,128,0,0.257568359375,0.27080000000000004,114.76580582014347,101,611.5848264958836,114.76580582014347,101,611.5848264958836,322,1,64
network,3,4096,64;64,1000,0.01,128,0,0.243408203125,0.279,40.00700088270686,179,591.3239382944005,153.31171870819819,606,329.4267748681033,4482,2,64
network,3,4096,64;64;64,1000,0.01,128,0,0.23291015625,0.2781,21.442933516346546,47,1528.7216882088119,154.96427233356016,841,296.1722471805892,8642,3,64
network,3,4096,128,1000,0.01,128,0,0.259765625,0.26980000000000004,63.95433465674332,113,663.1726773623895,63.95433465674332,113,663.1726773623895,642,1,128
network,3,4096,128;128,1000,0.01,128,0,0.229736328125,0.2784,17.660037014361905,181,932.0214589804251,101.80334761236006,875,284.45737817817275,17154,2,128
network,3,4096,256,1000,0.01,128,0,0.262451171875,0.2703,36.27622742104423,138,560.1660468111219,36.27622742104423,138,560.1660468111219,1282,1,256
network,4,4096,2,1000,0.01,128,0,0.3193359375,0.31899999999999995,1048.0708468419489,3,2387.0429405438017,1048.0708468419489,3,2387.0429405438017,12,1,2
